http://purl.org/dc/elements/1.1/description,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/2002/07/owl#differentFrom_label,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,ontology/activeYears,ontology/activeYearsEndDate,ontology/activeYearsEndYear,ontology/activeYearsStartDate,ontology/activeYearsStartYear,ontology/alias,ontology/allegiance,ontology/almaMater,ontology/almaMater_label,ontology/appointer,ontology/appointer_label,ontology/associate,ontology/associate_label,ontology/associatedBand,ontology/associatedBand_label,ontology/associatedMusicalArtist,ontology/associatedMusicalArtist_label,ontology/award,ontology/award_label,ontology/background,ontology/battle,ontology/battle_label,ontology/birthDate,ontology/birthName,ontology/birthPlace,ontology/birthPlace_label,ontology/birthYear,ontology/board,ontology/board_label,ontology/bodyDiscovered,ontology/bodyDiscovered_label,ontology/chancellor,ontology/chancellor_label,ontology/child,ontology/child_label,ontology/citizenship,ontology/citizenship_label,ontology/committee,ontology/country,ontology/country_label,ontology/creator,ontology/creator_label,ontology/deathCause,ontology/deathCause_label,ontology/deathDate,ontology/deathPlace,ontology/deathPlace_label,ontology/deathYear,ontology/deputy,ontology/deputy_label,ontology/education,ontology/education_label,ontology/electionMajority,ontology/employer,ontology/employer_label,ontology/ethnicity,ontology/ethnicity_label,ontology/firstAppearance,ontology/gender,ontology/gender_label,ontology/genre,ontology/genre_label,ontology/governor,ontology/governorGeneral,ontology/governorGeneral_label,ontology/governor_label,ontology/height,ontology/hometown,ontology/hometown_label,ontology/honours,ontology/honours_label,ontology/imdbId,ontology/influenced,ontology/influencedBy,ontology/influencedBy_label,ontology/influenced_label,ontology/instrument,ontology/instrument_label,ontology/knownFor,ontology/knownFor_label,ontology/language,ontology/language_label,ontology/lastAppearance,ontology/lastAppearance_label,ontology/lieutenant,ontology/lieutenant_label,ontology/militaryBranch,ontology/militaryBranch_label,ontology/militaryCommand,ontology/militaryRank,ontology/militaryRank_label,ontology/militaryUnit,ontology/militaryUnit_label,ontology/monarch,ontology/monarch_label,ontology/movement,ontology/movement_label,ontology/nationality,ontology/nationality_label,ontology/networth,ontology/notableWork,ontology/notableWork_label,ontology/occupation,ontology/occupation_label,ontology/office,ontology/opponent,ontology/opponent_label,ontology/orderInOffice,ontology/otherParty,ontology/otherParty_label,ontology/parent,ontology/parent_label,ontology/partner,ontology/partner_label,ontology/party,ontology/party_label,ontology/personFunction,ontology/personFunction_label,ontology/portfolio,ontology/portrayer,ontology/portrayer_label,ontology/predecessor,ontology/predecessor_label,ontology/president,ontology/president_label,ontology/primeMinister,ontology/primeMinister_label,ontology/profession,ontology/profession_label,ontology/pseudonym,ontology/race,ontology/raceHorse,ontology/raceHorse_label,ontology/race_label,ontology/recordLabel,ontology/recordLabel_label,ontology/region,ontology/region_label,ontology/relation,ontology/relation_label,ontology/relative,ontology/relative_label,ontology/religion,ontology/religion_label,ontology/residence,ontology/residence_label,ontology/restingPlace,ontology/restingPlacePosition,ontology/restingPlace_label,ontology/salary,ontology/school,ontology/school_label,ontology/seniority,ontology/series,ontology/series_label,ontology/serviceEndYear,ontology/serviceStartYear,ontology/signature,ontology/soundRecording,ontology/soundRecording_label,ontology/species,ontology/species_label,ontology/spouse,ontology/spouse_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/successor,ontology/successor_label,ontology/termPeriod,ontology/termPeriod_label,ontology/timeInSpace,ontology/title,ontology/type,ontology/type_label,ontology/viafId,ontology/vicePresident,ontology/vicePresident_label,ontology/voice,ontology/voice_label,ontology/weight,ontology/wins,title
German politician,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/OfficeHolder | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | office holder | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walter Becher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912-10-01,,http://dbpedia.org/resource/Austria-Hungary | http://dbpedia.org/resource/Bohemia | http://dbpedia.org/resource/Karlovy_Vary,Austria-Hungary | Bohemia | Karlovy Vary,1912,,,,,,,,,,,,,,,,,,2005-08-25,http://dbpedia.org/resource/Bavaria | http://dbpedia.org/resource/Germany | http://dbpedia.org/resource/Pullach,Bavaria | Germany | Pullach,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bundestag member,,,,,,,,,,http://dbpedia.org/resource/All-German_Bloc/League_of_Expellees_and_Deprived_of_Rights,League of Expellees and Deprived of Rights,,,,,,,,,,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Walter_Becher__1,Walter_Becher__1,,,,,,,,,,,,Walter_Becher
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walter Duranty,,,,,,,,,,,,,,"http://dbpedia.org/resource/Emmanuel_College,_Cambridge",Emmanuel College Cambridge,,,,,,,,,,,,,,1884-05-25,Walter Duranty,http://dbpedia.org/resource/Liverpool,Liverpool,1884,,,,,,,,,,,,,,,,,,1957-10-03,"http://dbpedia.org/resource/Orlando,_Florida | http://dbpedia.org/resource/Florida",Orlando Florida | Florida,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Walter_Duranty__1 | http://dbpedia.org/resource/Journalist,Walter_Duranty__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Protestantism,Protestantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter_Duranty
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walter Liggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886-02-14,Walter William Liggett,http://dbpedia.org/resource/Minnesota,Minnesota,1886,,,,,,,,,,,,,,,,,,1935-12-09,http://dbpedia.org/resource/Minnesota | http://dbpedia.org/resource/Minneapolis,Minnesota | Minneapolis,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Walter_Liggett__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Editor-in-chief,Walter_Liggett__1 | Journalist | Editor-in-chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter_Liggett
American politician,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Walter Lowenfels,,,,,,,,,1975,,1925,,,,,,,,,,,,,,,,,,1897-05-10,,http://dbpedia.org/resource/New_York_City,New York City,1897,,,,,,,,,,,,,,,,,,1976-07-07,"http://dbpedia.org/resource/Tarrytown,_New_York",Tarrytown New York,1976,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Charles_Baudelaire | http://dbpedia.org/resource/Dante_Alighieri | http://dbpedia.org/resource/John_Milton | http://dbpedia.org/resource/Karl_Marx | http://dbpedia.org/resource/Leonardo_da_Vinci | http://dbpedia.org/resource/Samuel_Taylor_Coleridge | http://dbpedia.org/resource/Walt_Whitman | http://dbpedia.org/resource/Paul_Éluard | http://dbpedia.org/resource/Du_Fu | http://dbpedia.org/resource/Vladimir_Lenin | http://dbpedia.org/resource/Calvin_C._Hernton | http://dbpedia.org/resource/Percy_Bysshe_Shelley | http://dbpedia.org/resource/Bertolt_Brecht,Charles Baudelaire | Dante Alighieri | John Milton | Karl Marx | Leonardo da Vinci | Samuel Taylor Coleridge | Walt Whitman | Paul Éluard | Du Fu | Vladimir Lenin | Calvin C. Hernton | Percy Bysshe Shelley | Bertolt Brecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Poet,Journalist | Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter_Lowenfels
American political writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walter Weyl,,,,,,,,,1919,,1901,Weyl Walter Edward,,http://dbpedia.org/resource/Wharton_School_of_the_University_of_Pennsylvania,Wharton School of the University of Pennsylvania,,,,,,,,,,,,,,1873-03-11,Walter Edward Weyl,http://dbpedia.org/resource/Philadelphia,Philadelphia,1873,,,,,,,http://dbpedia.org/resource/Nathaniel_Weyl,Nathaniel Weyl,,,,,,,,,,1919-11-09,"http://dbpedia.org/resource/Woodstock,_New_York",Woodstock New York,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Walter_Weyl__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Economist,Walter_Weyl__1 | Journalist | Economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Julius_Stern,Julius Stern,,,"http://dbpedia.org/resource/Woodstock,_New_York",Woodstock New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter_Weyl
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walter Yust,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Pennsylvania,University of Pennsylvania,,,,,,,,,,,,,,1894-05-16,,http://dbpedia.org/resource/Philadelphia,Philadelphia,1894,,,,,,,,,,,,,,,,,,1960-02-29,"http://dbpedia.org/resource/Evanston,_Illinois",Evanston Illinois,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Encyclopædia_Britannica,Encyclopædia Britannica,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Walter_Yust__1 | http://dbpedia.org/resource/Journalist,Walter_Yust__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter_Yust
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/OfficeHolder | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | office holder | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Walther Funk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-08-18,,http://dbpedia.org/resource/German_Empire | http://dbpedia.org/resource/Kingdom_of_Prussia,German Empire | Kingdom of Prussia,,,,,,http://dbpedia.org/resource/Adolf_Hitler,Adolf Hitler,,,,,,,,,,,,1960-05-31,http://dbpedia.org/resource/West_Germany | http://dbpedia.org/resource/Düsseldorf,West Germany | Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazi Germany | Reich Minister of Economics | President of the Reichsbank | Secretary of State in theMinistry of Public Enlightenment and Propaganda,,,,,,,http://dbpedia.org/resource/Nazi_Party,Nazi Party,,,,,,http://dbpedia.org/resource/Hermann_Göring | http://dbpedia.org/resource/Hjalmar_Schacht,Hermann Göring | Hjalmar Schacht,http://dbpedia.org/resource/Adolf_Hitler | http://dbpedia.org/resource/Führer,Adolf Hitler | Führer,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Otto_Dietrich,Otto Dietrich,http://dbpedia.org/resource/Walther_Funk__1 | http://dbpedia.org/resource/Walther_Funk__2 | http://dbpedia.org/resource/Walther_Funk__3,Walther_Funk__1 | Walther_Funk__2 | Walther_Funk__3,,,,,,,,,,,,Walther_Funk
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wang Zheng (newsreader),,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,1979-05-13,Wang Zheng,,,1979,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Beijing_International_Studies_University,Beijing International Studies University,,http://dbpedia.org/resource/Mediacorp,Mediacorp,,,,,,,,,,,,1.62,http://dbpedia.org/resource/Beijing,Beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/China,China,,,,http://dbpedia.org/resource/Wang_Zheng_(newsreader)__1 | http://dbpedia.org/resource/Wang_Zheng_(newsreader)__2 | http://dbpedia.org/resource/Wang_Zheng_(newsreader)__3 | http://dbpedia.org/resource/Wang_Zheng_(newsreader)__4 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Correspondent,Wang_Zheng_(newsreader)__1 | Wang_Zheng_(newsreader)__2 | Wang_Zheng_(newsreader)__3 | Wang_Zheng_(newsreader)__4 | Journalist | Correspondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Singapore,Singapore,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/China,China,,,,,,,,,,,,,,,,Wang_Zheng_(newsreader)
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Wayne Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne_Barrett
Australian journalist and television producer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wayne Darwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wayne_Darwen__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Filmmaking | http://dbpedia.org/resource/Television_producer,Wayne_Darwen__1 | Journalist | Filmmaking | Television producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne_Darwen
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wayne Dolcefino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/KTRK-TV,KTRK-TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wayne_Dolcefino__1 | http://dbpedia.org/resource/Journalist,Wayne_Dolcefino__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Christian,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne_Dolcefino
American judge,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wells Spicer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Chemung,_New_York",Chemung New York,1831,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Pima_County,_Arizona | http://dbpedia.org/resource/Ajo,_Arizona",Pima County Arizona | Ajo Arizona,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wells_Spicer__1 | http://dbpedia.org/resource/Lawyer | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Politician | http://dbpedia.org/resource/Justice_of_the_peace | http://dbpedia.org/resource/Prospecting,Wells_Spicer__1 | Lawyer | Journalist | Politician | Justice of the peace | Prospecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wells_Spicer
Journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wendy Bouchard,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,1980-06-22,,http://dbpedia.org/resource/Paris | http://dbpedia.org/resource/France,Paris | France,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Europe_1,Europe 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wendy_Bouchard__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Television_presenter | http://dbpedia.org/resource/Radio_personality,Wendy_Bouchard__1 | Journalist | Television presenter | Radio personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wendy_Bouchard
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wendy Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-06-27,,"http://dbpedia.org/resource/Queensland | http://dbpedia.org/resource/Gold_Coast,_Queensland | http://dbpedia.org/resource/Australia",Queensland | Gold Coast Queensland | Australia,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Nine_Network,Nine Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wendy_Kingston__1 | http://dbpedia.org/resource/Journalist,Wendy_Kingston__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Gold_Coast,_Queensland",Gold Coast Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wendy_Kingston
German journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Werner Veigel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928-11-09,,http://dbpedia.org/resource/Netherlands | http://dbpedia.org/resource/The_Hague,Netherlands | The Hague,1928,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Brain_tumor,Brain tumor,1995-05-02,http://dbpedia.org/resource/Germany | http://dbpedia.org/resource/Munich,Germany | Munich,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Netherlands,Netherlands,,,,http://dbpedia.org/resource/Werner_Veigel__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/News_presenter,Werner_Veigel__1 | Journalist | News presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Netherlands,Netherlands,,,,,,,,,,,,,,,,Werner_Veigel
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wesley Pruden,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock,University of Arkansas at Little Rock,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Arkansas | http://dbpedia.org/resource/Little_Rock,_Arkansas",Arkansas | Little Rock Arkansas,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Wesley_Pruden__1 | http://dbpedia.org/resource/Journalist,Wesley_Pruden__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Washington,_D.C.",Washington D.C.,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,,,,,,,,,,,,Wesley_Pruden
